,index,0
0,IAJALV3,Ajalvir
1,IMORAL25,El Álamo
2,IALBACET33,Alcalá de Henares
3,IALCOB23,Alcobendas
4,IALCORCN13,Alcorcón
5,IALGET4,Algete
6,IALPED10,Alpedrete
7,IARANJ4,Aranjuez
8,IARGAN15,Arganda del Rey
9,IBATRE1,Batres
10,IBECER12,Becerril de la Sierra
11,IBOADI12,Boadilla del Monte
12,IELBOA16,El Boalo
13,IBRUNE25,Brunete
14,IBUITR2,Buitrago del Lozoya
15,IBUSTA12,Bustarviejo
16,ICABAN28,Cabanillas de la Sierra
17,IMCHUECA17,Talofofo
18,ICAMAR23,Camarma de Esteruelas
19,ICERCE16,Cercedilla
20,ICHINC15,Chinchón
21,ICIEMP5,Ciempozuelos
22,ICOBEA3,Cobeña
23,ICOLLA20,Collado Mediano
24,ICOLLA28,Collado Villalba
25,ICOLME38,Colmenar de Oreja
26,ICOLME74,Colmenarejo
27,ICOLME91,Colmenar Viejo
28,ICOSLA10,Coslada
29,ICUBAS2,Cubas de la Sagra
30,IDAGAN9,Daganzo de Arriba
31,IELESC10,Real Monasterio de San Lorenzo de El Escorial
32,IFUENLAB14,Fuenlabrada
33,IFUENT45,Fuente el Saz de Jarama
34,IGALAP24,Galapagar
35,IVILLA424,Gascones
36,IMADRIDG2,Getafe
37,IGRIN2,Griñón
38,IGUADA34,Guadalix de la Sierra
39,IGUADARR14,Guadarrama
40,IHOYODEM5,Hoyo de Manzanares
41,IGRIN2,Humanes de Madrid
42,100C lite,Loeches
43,IMCHUECA17,Madrid
44,IMAJAD32,Majadahonda
45,IMANZA19,Manzanares el Real
46,IMECO5,Meco
47,IMEJOR4,Mejorada del Campo
48,IELMOL3,El Molar
49,IMORALZA8,Moralzarzal
50,IMORAT67,Morata de Tajuña
51,IMSTOL16,Móstoles
52,INAVAC1,Navacerrada
53,IVALDE238,Navalagamella
54,INAVAL17,Navalcarnero
55,INAVAS9,Navas del Rey
56,INUEVO30,Nuevo Baztán
57,IVILLA1123,Orusco de Tajuña
58,IPARAC71,Paracuellos de Jarama
59,IPARLA26,Parla
60,ITORRE333,Patones
61,IPEDRE32,Pedrezuela
62,IPINTO9,Pinto
63,IPOZUE41,Pozuelo de Alarcón
64,IQUIJO1,Quijorna
65,IRASCA5,Rascafría
66,IRIVAS87,Rivas-Vaciamadrid
67,IROBLE35,Robledo de Chavela
68,Alto de la Jabonería,Las Rozas de Madrid
69,ISANAG23,San Agustín del Guadalix
70,ISANFE116,San Fernando de Henares
71,IELESC10,San Lorenzo de El Escorial
72,ICIEMP5,San Martín de la Vega
73,ISANMA103,San Martín de Valdeiglesias
74,ISANSE135,San Sebastián de los Reyes
75,ILOSSA31,Los Santos de la Humosa
76,ISERRA76,Serranillos del Valle
77,ICOMUNID317,Sevilla la Nueva
78,ISOTOD29,Soto del Real
79,ITALAM7,Talamanca de Jarama
80,Torrejón de Ardoz,Torrejón de Ardoz
81,1,Torrejón de la Calzada
82,ITORRE334,Torrejón de Velasco
83,ITORRE406,Torrelaguna
84,ITORRE413,Torrelodones
85,ITORRE158,Torres de la Alameda
86,ITRESC2,Tres Cantos
87,IVALDE265,Valdemoro
88,IVALDE302,Valdepiélagos
89,ITIELM1,Valdilecha
90,IVILLA1379,Valverde de Alcalá
91,IVILLA1379,Villalbilla
92,IFUENT87,Villamanrique de Tajo
93,IVILLA984,Villanueva de la Cañada
94,IVILLA1325,Villanueva del Pardillo
95,IBELMO62,Villarejo de Salvanés
96,IVILLA777,Villaviciosa de Odón
97,IZARZA9,Zarzalejo (estación)
